Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/kl	loss/vf0	loss/vf1	loss/vf_total	loss/total	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
16714000	1.5	13700.0	832860.0542303278	-395.23174310565116	3.0570694377246683	1220.0	0.046407714928418775	20.548141328277904	-0.13434742660598548	0.03270584011470225	-0.004716953693703588	0.054735975151762685	5.781444366942061	0.0051109763110016885	5.786555361240468	1.441921891050136	-0.09973625949722655	96867.0	-393.7482803133603	1.865244986112492	1220.0	24952.466902017593	3535.4574995040894	472.75352630725826	20428.05309486389	988.9563076496124	780.4077444182493	865.0	16714000.0
16738400	1.5	13720.0	832889.5092924058	-369.19172898043587	1.4727531038953494	1220.0	0.04693430871336518	20.306375387504886	-0.11361649751346162	0.0345030449320899	-0.0037131354036882966	0.04678248237085311	8.069849267919013	0.001587424796332229	8.071436719691501	2.0141460540446823	-0.10575476605841454	96914.0	-411.0858047732411	2.3903815505810257	1220.0	24985.23965525627	3540.258780479431	472.8015955300658	20455.488441705704	989.4924330711365	780.5276254495229	864.0	16738400.0
16762800	1.5	13740.0	832937.1918955897	-388.85137102170955	2.384130159192263	1220.0	0.04663412597167641	20.44352401087902	-0.13309815910426862	0.032107766202472625	-0.004709598817411193	0.13776582657567601	6.435139245175302	0.004508102077376493	6.439647360050932	1.6052022436831856	-0.10658859818222673	97008.0	-370.88014630400284	8.14325061326161	1220.0	25018.383733034134	3544.8764975070953	472.874020062146	20483.117902755737	990.3893327713013	780.6270217594746	863.0	16762800.0
16787200	1.5	13760.0	833043.7914998832	-350.4918542418761	5.329980214671588	1220.0	0.04587960160368298	20.796178803778567	1.0020632036822903	0.10197138407346891	0.05065266919599698	0.28160521954278206	10.08244914196907	0.004743430518267794	10.08719254554586	2.572450810290397	-0.11166316651283424	97055.0	-291.9228336236103	97.31387774709034	1220.0	25050.561947107315	3549.642522573471	472.9264959286484	20509.974153757095	990.9452707767487	780.7666113498752	862.0	16787200.0
16811600	1.5	13780.0	833688.3233761948	-293.39913125014317	32.226593815584536	1220.0	0.03913672350659117	24.551449135275366	0.026249990590471558	0.015668256864065616	0.0016405427880183628	0.012895316131378304	10.612458307692348	0.025208944682665973	10.637667224762284	2.661057343508335	-0.1256471213270375	97243.0	-291.67383245380165	98.63883780682745	1220.0	25085.232949972153	3554.3914444446564	472.9811069705259	20537.798006534576	993.0434989929199	780.8148137491072	861.0	16811600.0
16836000	1.5	13800.0	834350.8711064473	-293.90033254234487	33.12738651262379	1220.0	0.043454228087411444	22.012720372996267	0.006262869450283497	0.002930827588685094	0.00039950501607119866	0.0026752917396964783	6.506437159599139	0.030708124940382688	6.537145279823465	1.6346858251602088	-0.13060478136894543	97431.0	-292.7975773154119	97.42313143410303	1220.0	25119.93432211876	3559.08477640152	473.0429606968328	20565.982590675354	994.8669550418854	780.8597691988549	860.0	16836000.0
16860400	1.5	13820.0	834994.2392703821	-293.73305890832387	32.168408196739364	1220.0	0.043687149280313864	21.890026391596493	-0.05063629146427554	0.019255763496906345	-0.001370925852883815	0.015706160087807185	3.6875214462584647	0.029233982117767354	3.7167554294809397	0.9278179302494582	-0.13306477293372154	97619.0	-309.2502375791274	79.93665369002791	1220.0	25153.71217608452	3563.9637994766235	473.0800016115761	20593.15174460411	996.5966320037842	780.9447199610692	859.0	16860400.0
16884800	1.5	13840.0	835559.2473033104	-303.5126664409485	28.250401646416815	1220.0	0.04403831087947962	21.70750126490357	-0.09089366340653057	0.01864328354218123	-0.0031817846668227598	0.019689494850450857	2.4804635574208946	0.0315537031621058	2.512017256401954	0.624822529548026	-0.13360465167367716	97807.0	-330.30478375045533	54.63011723632353	1220.0	25186.77382326126	3568.654383659363	473.1419236705691	20619.798381567	998.3210580348969	781.0485110499018	858.0	16884800.0
16909200	1.5	13860.0	835981.5622108546	-315.2809224855175	21.115745377207865	1220.0	0.04472156645268536	21.360576324131728	-0.13168581872385868	0.028508255933163727	-0.004614262097695066	0.027401908838309032	2.026099958318346	0.04245694716797864	2.068556917474625	0.5125249681320595	-0.1354615204828851	97901.0	-344.6941912031744	35.879189492340814	1220.0	25228.525395154953	3573.330978870392	473.20553567487804	20655.338794708252	999.8556215763092	780.838060141561	857.0	16909200.0
16933600	1.5	13880.0	836291.9355680726	-325.93018756936414	15.518667860901507	1220.0	0.045274001416648654	21.087731782246863	-1.3221902084398145	0.10305705641525145	-0.055195032936041236	0.30462146293064774	1.721736623251691	0.040887265803015	1.7626238845764326	0.3854609380694147	-0.13602392090127816	97995.0	-445.67340386191245	9.272730649665935	1220.0	25276.07302212715	3579.974349975586	473.00897561222695	20693.322967767715	1002.7757043838501	780.4905506691597	856.0	16933600.0
